serialNumber,packetType,deviceTime,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,time
21845,1,3196,2469,-28281,372465280,1266665088,100777.0625,21.82748413,0.617818952,-1.166991353,6.727361679,16.06900024,-10.08500004,-22.73500061,7.375,38.43199921,-35.5890007,228568
21845,1,3207,2469,-28830,372465280,1266665088,100782.0781,21.83488464,1.255251288,-1.049311519,11.3168745,11.73400021,-8.744000435,17.27199936,5.426000118,35.57699966,-37.49499893,228678
21845,1,3217,2469,-29277,372465312,1266665216,100797.0156,21.83325195,0.990471721,-1.725970387,11.22861385,14.05799961,-20.66399956,20.81599998,6.427000046,35.89199829,-38.05599976,228778
21845,1,3227,2469,-29617,372465344,1266665216,100804.6094,21.83720398,0.872791886,-1.392544389,9.306510925,49.88899994,-22.54800034,22.51399994,5.742000103,36.36999893,-37.04700089,228878
21845,1,3237,2469,-29222,372465376,1266665344,100820.1094,21.84489441,1.343510985,-0.892405152,11.07170773,53.63100052,-34.06700134,29.83799934,6.737999916,33.0359993,-39.63299942,228978
21845,1,3248,2469,-29396,372465376,1266665344,100832.2813,21.83499146,1.618097305,-0.490332514,11.66991425,40.98400116,-41.15100098,58.59000015,7.599999905,32.24100113,-40.85100174,229088
21845,1,3258,2469,-29452,372465376,1266665344,100835.9375,21.82603455,1.382737756,-0.71588546,9.286897659,33.40499878,-29.75699997,71.94100189,6.592999935,33.66999817,-37.95899963,229188
21845,1,3269,2470,-29891,372465408,1266665472,100849.7344,21.83161926,1.323897839,-0.147099748,7.864933491,40.03900146,-20.09000015,67.45999908,9.758000374,35.57400131,-41.01599884,229298
21845,1,3280,2470,-30347,372465408,1266665472,100854.8594,21.82498169,1.421964288,-1.039504886,8.531785965,38.29199982,-12.8760004,75.96199799,12.72399998,36.20899963,-43.15399933,229408
21845,1,3290,2470,-31595,372465472,1266665472,100868.0781,21.81257629,1.510224104,-1.15718472,8.600432396,32.51599884,4.124000072,110.2710037,19.01000023,35.09600067,-45.45600128,229508
21845,1,3301,2470,-32698,372465536,1266665600,100872.3125,21.81391907,1.559257269,-0.81395191,10.39504814,33.00600052,6.953999996,122.6259995,22.13699913,39.07099915,-46.27799988,229618
21845,1,3311,2470,-33642,372465600,1266665600,100884.2188,21.81170654,1.716163754,-1.421964288,11.00306129,47.53300095,27.97500038,104.7279968,32.64199829,36.36800003,-47.26499939,229718
21845,1,3321,2470,-34080,372465664,1266665600,100900.1563,21.81843567,0.676658869,-1.166991353,9.865490913,40.50400162,18.67300034,105.1809998,38.7879982,33.83200073,-50.5530014,229818
21845,1,3332,2470,-34697,372465728,1266665728,100906.3281,21.81391907,0.37265268,-1.059118271,8.227779388,33.99900055,-5.68599987,94.61399841,46.76100159,30.33699989,-53.02700043,229928
21845,1,3342,2470,-35023,372465760,1266665728,100921.0625,21.82286072,0.755112052,-1.196411371,8.335653305,32.125,-22.33600044,86.6210022,50.40100098,24.93799973,-54.68700027,230028
21845,1,3352,2470,-35138,372465824,1266665728,100927.4531,21.81141663,0.117679805,-1.520030737,11.44436169,35.18999863,12.50399971,140.9730072,50.73899841,18.11400032,-55.97999954,230128
21845,1,3363,2470,-35692,372465888,1266665728,100940.7656,21.82940674,0.892405152,-1.059118271,12.03275967,35.31900024,36.51100159,189.9859924,57.19599915,12.39799976,-56.16699982,230238
21845,1,3373,2471,-35746,372465920,1266665728,100951.8594,21.82489014,0.117679805,-0.882598579,11.463974,35.04399872,24.8390007,188.852005,62.3409996,1.444000006,-55.70299911,230338
21845,1,3384,2471,-36085,372465984,1266665728,100969.8281,21.82940674,-0.549172401,-0.402072668,10.46369648,31.31299973,1.472000003,172.302002,60.85800171,-11.09500027,-53.32600021,230448
21845,1,3394,2471,-36737,372466048,1266665728,100976.0938,21.84230042,-0.529559135,0.225552961,9.100570679,9.081999779,-21.68400002,155.878006,57.00799942,-19.98399925,-51.9659996,230548
21845,1,3405,2471,-36887,372466112,1266665728,100989.1875,21.84384155,-0.196133003,0.215746298,8.865211487,-20.57799911,-28.2689991,151.0119934,47.41400146,-24.74600029,-50.39599991,230658
21845,1,3415,2471,-37319,372466144,1266665728,100996.3281,21.84373474,0.088259846,-0.421685964,9.679163933,-35.13800049,-22.6420002,147.375,40.2820015,-24.2689991,-53.93899918,230758
21845,1,3426,2471,-37295,372466176,1266665728,101008.8906,21.83403015,0.343232751,-0.57859236,11.36590767,-30.18099976,-11.02299976,130.529007,32.14400101,-20.62199974,-55.7480011,230868
21845,1,3437,2471,-37357,372466208,1266665728,101021.3438,21.85124207,0.029419951,-0.804145336,9.943943977,41.36600113,-21.52199936,30.26600075,22.85400009,-16.33499908,-54.59700012,230978
21845,1,3447,2471,-38572,372466272,1266665728,101026.4844,21.84181213,0.196133003,-0.107873149,9.139798164,40.33200073,-28.51600075,14.85999966,20.02700043,-19.03199959,-53.43799973,231078
21845,1,3457,2471,-38575,372466304,1266665728,101033.7031,21.84643555,0.764918745,0.333426118,9.218251228,26.93300056,-27.31299973,25.86100006,17.68199921,-23.31999969,-51.20299911,231178
21845,1,3467,2471,-38857,372466336,1266665600,101040.9688,21.84451294,0.254972905,-0.804145336,11.04228878,30.75699997,39.6230011,-17.25,14.55000019,-23.31699944,-48.74399948,231278
21845,1,3478,2472,-39743,372466368,1266665600,101055.3281,21.84980774,0.755112052,0.441299289,11.57184696,26.37400055,95.84899902,-22.19099998,19.34199905,-26.17399979,-48.41600037,231388
